Id,Price
4567,164550.4049909944
5925,120960.72592892457
960,148568.7807313926
3848,110775.74514779833
746,199641.6180635638
868,321053.7033153183
672,121884.42389030062
2471,221287.69669252518
4510,114797.07497568522
8354,259726.76439215994
6393,182709.73540853302
13270,226453.78561429717
5250,284544.8722913826
16751,175594.72325823677
11404,138733.1704712955
10588,319048.8182396821
14925,197122.73220906788
6791,199059.4387502385
16097,164864.65966726362
16428,346558.8394305933
6945,326791.60118562425
3190,181003.21158453834
15709,404838.79762820154
13155,139188.19062107895
7675,179708.57522106564
14686,225893.18296834797
609,141095.0663575582
11155,175778.36452851782
10869,194880.28916742443
15742,181830.5684119682
9245,191500.21849180525
3340,152560.44080921402
2359,284954.37022350857
8070,195612.05018686148
13707,130163.23373962754
16079,259308.22148411596
15937,267864.97459603095
14090,186754.35761287122
9008,203416.60396388485
16384,164000.15221506782
11657,230680.17752119503
13151,167716.86559316845
8990,148147.6805087502
11857,183035.41654987825
1565,155530.09180168554
8174,102890.75765537424
9247,249539.46934039638
10478,218533.41386219734
15509,140915.68304159577
8306,253567.69452511086
6642,183846.85330579666
7472,231490.8715244861
15989,129394.22548179979
13682,140602.76915662226
163,227979.00569083384
7076,195064.097691029
7478,283086.76162996964
3029,191090.8643517075
1814,138980.17837303717
10057,127756.45364222678
15100,190625.70215204512
12694,227230.15206305892
6291,189800.94902541317
12603,189002.30508835064
3218,208089.58004345154
13456,127314.05520652194
10170,230457.13158833055
4530,182742.7986507867
13329,167029.95706422188
4820,155459.8516895656
10896,168008.65795081004
13416,124545.93110589118
2701,207849.97012887374
11265,340683.83480390813
9189,251833.66491236753
1858,173228.6305239959
14536,242478.11588179745
6199,306090.3049496397
14730,156546.87480130605
7510,252372.92918182246
15505,160875.80455663003
7446,179501.08407574703
14016,206444.04437834932
14113,106059.67054254185
8721,316449.9422853985
6193,303018.32612023444
5717,176500.41930887767
5427,303070.11621795053
9520,397536.0427447216
6869,95437.56182475146
1658,157141.44934785514
6639,225443.6122347143
6283,196809.98974734315
6257,129739.08973573602
15235,174502.48355734537
902,218909.15202006538
8932,187702.48885687452
16469,354121.3045763177
2825,278590.3884739117
6450,390272.6178160343
11366,177928.8594789545
3801,354753.9279205154
11385,193643.4176420462
1079,196888.9423901591
3202,233604.94227755337
676,225544.39665565264
6185,284934.8071446252
7730,165351.24880934195
2573,182330.15053791186
10978,204843.74193109985
10962,253625.87638877935
8870,186525.10246178406
8496,181757.50840126738
5517,168445.0623065086
927,180799.69340113687
13675,194137.01936543462
1499,232924.2551307887
15536,318867.08833972615
8602,352605.6955764995
12137,353075.286187919
9865,255492.4577167473
16353,278711.8970410388
15908,207842.61566103963
3944,180143.75183805122
10359,200893.0899320577
15158,231500.94248047395
3259,236713.28033262436
7220,310263.69421328517
13843,207950.15236767574
16736,184475.91468023293
702,274564.9772596801
16401,203173.43221906625
12134,194605.72249368875
6918,221389.77381257212
11792,126140.37026072516
3798,135652.60005531405
10395,138084.63591524956
11099,133771.70456200338
7090,195660.01035912984
11260,195566.68302297202
9647,205400.22505094283
2903,355808.6628510202
2071,181937.06824931595
8604,177772.064755102
9346,220024.31091852539
3945,217855.93487440347
3420,136549.36263213307
10842,125699.37974909227
725,145480.64480752626
13931,190707.39265085477
16330,232244.12427583887
9066,388427.27281157783
3326,292491.11821774015
1556,283930.43571132387
6579,101682.31914704738
13877,150332.8381034874
9857,342113.5913253599
7302,279127.4916570505
